,id,title,year,overview,ratings,genres,popularity,cast,poster
0,0,The Walking Dead,2022,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.1,"Drama, Horror, Thriller            ",999787,"Andrew Lincoln,Norman Reedus,Melissa McBride,Lauren Cohan,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,1,Jack Ryan,2018 ,"Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.",8,"Action, Drama, Thriller            ",138760,"John Krasinski,Wendell Pierce,Michael Kelly,John Hoogenakker,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,2,Knives Out,2019,"A detective investigates the death of the patriarch of an eccentric, combative family.",7.9,"Comedy, Crime, Drama            ",687013,"Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,3,Game of Thrones,2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.2,"Action, Adventure, Drama            ",2110375,"Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,4,Avatar,2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,"Action, Adventure, Fantasy            ",1306723,"James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,5,Servant,2023,A Philadelphia couple are in mourning after an unspeakable tragedy creates a rift in their marriage and opens a door for a mysterious force to enter their home.,7.5,"Drama, Horror, Mystery            ",36970,"Lauren Ambrose,Toby Kebbell,Nell Tiger Free,Rupert Grint,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
6,6,Happy Valley,2023,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,8.5,"Crime, Drama, Thriller            ",43468,"Sarah Lancashire,Siobhan Finneran,Shane Zaza,Charlie Murphy,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,7,Breaking Bad,2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,9.5,"Crime, Drama, Thriller            ",1901021,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
8,8,Criminal Minds,2005 ,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,8.1,"Crime, Drama, Mystery            ",201331,"Kirsten Vangsness,Matthew Gray Gubler,A.J. Cook,Joe Mantegna,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
9,9,You,2018 ,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7,"Crime, Drama, Romance            ",247098,"Penn Badgley,Victoria Pedretti,Tati Gabrielle,Ambyr Childers,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
10,10,Better Call Saul,2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,8.9,"Crime, Drama            ",538964,"Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,","https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
